StackNo,OLA_Rotor_A_SS_MIN_BR,OLA_Rotor_A_SS_MAX_BR,OLA_Rotor_A_SS_MIN_AR,OLA_Rotor_A_SS_MAX_AR,OLA_Rotor_A_SS_DIG_UR,,OLA_Rotor_B_SS_MIN_BR,OLA_Rotor_B_SS_MAX_BR,OLA_Rotor_B_SS_MIN_AR,OLA_Rotor_B_SS_MAX_AR,OLA_Rotor_B_SS_DIG_UR,,OLA_Rotor_AB_Rivetted_Min,OLA_Rotor_AB_Rivetted_Max,OLA_Rotor_AB_Rivetted_A_Stack,OLA_Rotor_AB_Rivetted_B_Stack,,LSL_FullStack,USL_FullStack,LSL_SubStack,USL_SubStack
1,54.32,54.81,50.4,50.58,50.14,,54.22,54.41,50.34,50.57,49.79,,100.58,100.79,50.59,50.12,,100,101,50,50.7
2,54.23,54.74,50.41,50.57,50.12,,54.42,54.61,50.61,50.76,50.13,,100.74,100.97,50.41,50.51,,100,101,50,50.7
3,54.28,54.75,50.39,50.62,50.14,,54.44,54.59,50.59,50.69,50.11,,100.88,101.03,50.42,50.56,,100,101,50,50.7
4,54.13,54.52,50.35,50.63,50.02,,54.44,54.84,50.72,50.88,50.19,,100.72,100.86,50.29,50.58,,100,101,50,50.7
5,54.17,54.32,50.25,50.49,49.96,,54.11,54.29,50.36,50.53,49.82,,100.42,100.68,50.32,50.29,,100,101,50,50.7
6,54.13,54.38,50.08,50.3,49.84,,54.11,54.36,50.32,50.49,49.84,,100.49,100.68,50.18,50.29,,100,101,50,50.7
7,54.21,54.39,50.2,50.47,50.01,,54.06,54.29,50.34,50.5,49.81,,100.39,100.72,50.42,50.19,,100,101,50,50.7
8,54.38,54.82,50.19,50.48,50.03,,54.16,54.32,50.39,50.56,49.83,,100.45,100.69,50.34,50.26,,100,101,50,50.7
9,54.17,54.37,50.06,50.28,49.88,,54.15,54.55,50.7,50.86,50.19,,100.69,100.82,50.51,50.19,,100,101,50,50.7
10,54.12,54.65,50.63,50.84,50.23,,54.21,54.37,50.33,50.54,49.85,,100.71,100.92,50.71,50.2,,100,101,50,50.7
11,54.16,54.43,50.43,50.62,49.89,,54.22,54.61,50.59,50.81,50.16,,100.74,100.93,50.26,50.42,,100,101,50,50.7
12,54.08,54.32,50.33,50.58,49.92,,54.1,54.35,50.61,50.8,50.15,,100.64,100.88,50.25,50.46,,100,101,50,50.7
13,53.99,54.26,50.38,50.59,49.95,,54.22,54.69,50.39,50.56,49.84,,100.42,100.68,50.27,50.22,,100,101,50,50.7
14,54.03,54.27,50.38,50.55,49.89,,54.12,54.43,50.35,50.62,49.81,,100.28,100.51,50.15,50.08,,100,101,50,50.7
15,54.06,54.3,50.26,50.58,49.95,,54.18,54.4,50.71,50.92,50.18,,100.62,100.84,50.27,50.6,,100,101,50,50.7
16,54.12,54.35,50.31,50.53,49.94,,54.44,54.71,50.67,50.87,50.21,,100.78,100.98,50.25,50.61,,100,101,50,50.7
17,54.14,54.35,50.35,50.53,49.86,,54.06,54.21,50.35,50.56,49.82,,100.37,100.52,50.18,50.24,,100,101,50,50.7
18,54.03,54.28,50.29,50.61,49.89,,54.52,54.76,50.66,50.82,50.21,,100.72,100.94,50.16,50.64,,100,101,50,50.7
19,54.2,54.37,50.46,50.65,49.93,,54.28,54.44,50.24,50.43,49.77,,100.37,100.49,50.33,50.19,,100,101,50,50.7
20,54.16,54.48,50.25,50.53,49.89,,54.02,54.27,50.22,50.43,49.73,,100.19,100.34,50.25,50.01,,100,101,50,50.7
21,54.16,54.43,50.42,50.57,49.96,,54.13,54.46,50.31,50.5,49.79,,100.33,100.54,50.31,50.19,,100,101,50,50.7
22,54.12,54.38,50.4,50.59,49.88,,54.28,54.53,50.34,50.49,49.83,,100.34,100.42,50.28,50.14,,100,101,50,50.7
23,53.95,54.28,50.46,50.68,49.83,,54.18,54.41,50.32,50.48,49.81,,100.31,100.53,50.19,50.17,,100,101,50,50.7
24,54.23,54.39,50.41,50.59,49.94,,54.16,54.4,50.23,50.38,49.72,,100.27,100.58,50.45,50.18,,100,101,50,50.7
25,54.08,54.22,50.41,50.57,49.91,,54.23,54.47,50.25,50.39,49.82,,100.42,100.68,50.27,50.22,,100,101,50,50.7
